Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total
,Intl relations & Defence,FCO,Day to day Spending,FCO running costs,799,b,,,,799
,Intl relations & Defence,FCO,Day to day Spending,Programme and grants,363,b,,,,363
,Intl relations & Defence,FCO,Day to day Spending,Conflict prevention,436,b,,,,436
,Intl relations & Defence,FCO,Day to day Spending,Peacekeeping,372,b,,,,372
,Intl relations & Defence,FCO,Day to day Spending,British Council,162,b,,,,162
,Intl relations & Defence,FCO,Day to day Spending,Other,6,b,,,,6
,Intl relations & Defence,FCO,Investment,FCO running costs,122,b,,,,122
,Intl relations & Defence,FCO,Investment,Programme and grants,12,b,,,,12
,Intl relations & Defence,International Development,Day to day Spending,Regional programmes,3476,b,,,,3476
,Intl relations & Defence,International Development,Day to day Spending,Policy priorities,3019,b,,,,3019
,Intl relations & Defence,International Development,Day to day Spending,Operating costs,292,b,,,,292
,Intl relations & Defence,International Development,Day to day Spending,Other central programmes,190,b,,,,190
,Intl relations & Defence,International Development,Day to day Spending,"Conflict, Stability and Security Fund",97,b,,,,97
,Intl relations & Defence,International Development,Day to day Spending,Scholarships,25,b,,,,25
,Intl relations & Defence,International Development,Day to day Spending,Independent Commission for Aid,4,b,,,,4
,Intl relations & Defence,International Development,Day to day Spending,European Union  Attributed aid,501,b,,,,501
,Intl relations & Defence,International Development,Investment,Regional programmes,659,b,,,,659
,Intl relations & Defence,International Development,Investment,Policy priorities,2219,b,,,,2219
,Intl relations & Defence,International Development,Investment,Other central programmes,11,b,,,,11
,"Criminal Justice, Borders & Fire ",Justice,Day to day Spending,Prison and Probation,3891,b,,,,3891
,"Criminal Justice, Borders & Fire ",Justice,Day to day Spending,Courts and Tribunals,1693,b,,,,1693
,"Criminal Justice, Borders & Fire ",Justice,Day to day Spending,Legal Aid and Services,1628,b,,,,1628
,"Criminal Justice, Borders & Fire ",Justice,Investment,Policy and administration,360,b,,,,360
,"Criminal Justice, Borders & Fire ",Justice,Day to day Spending,Youth Justice Board,223,b,,,,223
,"Criminal Justice, Borders & Fire ",Justice,Investment,Prison and Probation,200,b,,,,200
,"Criminal Justice, Borders & Fire ",Justice,Investment,Courts and Tribunals,162,b,,,,162
,"Criminal Justice, Borders & Fire ",Justice,Investment,Legal Aid and Services,12,b,,,,12
,"Criminal Justice, Borders & Fire ",Justice,Investment,Youth Justice Board,3,b,,,,3
,"Criminal Justice, Borders & Fire ",Justice,Day to day Spending,Other,422,b,,,,422
,"Criminal Justice, Borders & Fire ",Justice,Investment,Other,7,b,,,,7
,"Criminal Justice, Borders & Fire ",Home Office,Day to day Spending,Crime Policing and Fire,8515,b,,,,8515
,"Criminal Justice, Borders & Fire ",Home Office,Day to day Spending,Border Force and immigration,963,b,,,,963
,"Criminal Justice, Borders & Fire ",Home Office,Day to day Spending,Office for Security and Counter-Terrorism,825,b,,,,825
"FOASI, Federal Payments to the FOASI Trust Fund","Criminal Justice, Borders & Fire ",Home Office,Day to day Spending,Enablers,696,b,,,,696
Federal Oldage and Survivors Insurance Trust Fund,"Criminal Justice, Borders & Fire ",Home Office,Investment,Crime Policing and Fire,152,b,,,,152
"FDI, General Fund Payments for Payroll Tax Holiday (PL 111312)","Criminal Justice, Borders & Fire ",Home Office,Investment,Office for Security and Counter-Terrorism,122,b,,,,122
"FDI, Federal Payments to the FDI Trust Fund","Criminal Justice, Borders & Fire ",Home Office,Day to day Spending,Arms length bodies (net),94,b,,,,94
Limitation on Administrative Expenses,"Criminal Justice, Borders & Fire ",Home Office,Investment,UK Border Agency/Border Force,90,b,,,,90
"Postal Service Contributions for Current Workers, Postal Service Retiree Health Benefits Fund","Criminal Justice, Borders & Fire ",Home Office,Investment,Enablers,51,b,,,,51
"NonDoD Employing Agency Contributions, DoD MedicareEligible Retiree Health Care Fund","Criminal Justice, Borders & Fire ",Home Office,Investment,Arms length bodies (net),11,b,,,,11
,"Criminal Justice, Borders & Fire ",Home Office,Investment,Other,91,b,,,,91
"FHI Trust Fund, Federal Employer Contributions (FICA)",Infrastructure and Investment,BEIS,Investment,Science and research,5990,b,,,,5990
"Federal Contributions (concurrent Receipt Accruals), Military Retirement Fund",Infrastructure and Investment,BEIS,Investment,Industrial strategy and investment,2453,b,,,,2453
"Federal Contributions, FSMI Fund",Infrastructure and Investment,BEIS,Investment,Nuclear decommissioning,1998,b,,,,1998
"Premiums Collected for Medicare Prescription Drug Account, FSMI",Infrastructure and Investment,BEIS,Day to day Spending,Administration & central functions,488,b,,,,488
"Payments from States, Medicare Prescription Drug Account, FSMI",Infrastructure and Investment,BEIS,Day to day Spending,Nuclear decommissioning,362,b,,,,362
"Basic Premium, Medicare Advantage, FSMI Trust Fund",Infrastructure and Investment,BEIS,Day to day Spending,Industrial strategy and investment,357,b,,,,357
"Federal Contribution for Admin. Contribution for Admin. Costs, Prescription Drug Account, FSMI",Infrastructure and Investment,BEIS,Investment,Administration & central functions,279,b,,,,279
"Federal Contributions for Benefits, Prescription Drug Account, SMI",Infrastructure and Investment,BEIS,Day to day Spending,Science and research,227,b,,,,227
"Premiums Collected for the Aged, FSMI Fund",Infrastructure and Investment,BEIS,Day to day Spending,Competition and markets,138,b,,,,138
Manufacturer Rebates,Infrastructure and Investment,BEIS,Investment,Tackling climate change,102,b,,,,102
"Premiums Collected for the Disabled, FSMI Fund",Infrastructure and Investment,BEIS,Investment,Energy affordability,57,b,,,,57
"FHI Trust Fund, Taxation on OASDI Benefits",Infrastructure and Investment,BEIS,Day to day Spending,Energy affordability,55,b,,,,55
"FHI Trust Fund, Basic Premium, Medicare Advantage",Infrastructure and Investment,BEIS,Day to day Spending,Tackling climate change,35,b,,,,35
Federal Hospital Insurance Trust Fund,Infrastructure and Investment,BEIS,Day to day Spending,Security of energy supply,17,b,,,,17
"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",Infrastructure and Investment,BEIS,Investment,Competition and markets,1,b,,,,1
,Infrastructure and Investment,BEIS,Day to day Spending,Other energy legacy,305,b,,,,305
,Infrastructure and Investment,BEIS,Investment,Other energy legacy,17,b,,,,17
"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",Infrastructure and Investment,DEFRA,Day to day Spending,Departmental and other costs,642,b,,,,642
Health Care Fraud and Abuse Control Account,Infrastructure and Investment,DEFRA,Day to day Spending,Environment and biodiversity,482,b,,,,482
Federal Intergovernmental  Health and Hospitals (B42),Infrastructure and Investment,DEFRA,Investment,Environmental emergencies,443,b,,,,443
Current Operations  Health  Other (E32),Infrastructure and Investment,DEFRA,Day to day Spending,Environmental emergencies,339,b,,,,339
Current Operations  Hospitals (E36),Infrastructure and Investment,DEFRA,Day to day Spending,Animal and plant diseases,207,b,,,,207
Current Operations  Hospitals  Other (Disc. 2005) (E38),Infrastructure and Investment,DEFRA,Day to day Spending,Support and develop farming,212,b,,,,212
Construction  Hospitals (F36),Infrastructure and Investment,DEFRA,Investment,Environment and biodiversity,86,b,,,,86
Construction  Hospitals  Other (Disc. 2005) (F38),Infrastructure and Investment,DEFRA,Investment,Animal and plant diseases,14,b,,,,14
Other Capital Outlay  Hospitals (G36),Infrastructure and Investment,DEFRA,Investment,Support and develop farming,7,b,,,,7
,Infrastructure and Investment,DEFRA,Investment,Other,134,b,,,,134
Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),Infrastructure and Investment,Transport,Investment,Research and support,5036,b,,,,5036
Salaries and Expenses,Infrastructure and Investment,Transport,Day to day Spending,Roads,2903,b,,,,2903
Salaries and Expenses,Infrastructure and Investment,Transport,Investment,Funding Arms Length Bodies,679,b,,,,679
Salaries and Expenses,Infrastructure and Investment,Transport,Day to day Spending,Funding ALBs,529,b,,,,529
Salaries and Expenses,Infrastructure and Investment,Transport,Investment,National Productivity Investment Fund,375,b,,,,375
Salaries and Expenses,Infrastructure and Investment,Transport,Day to day Spending,London,257,b,,,,257
Salaries and Expenses,Infrastructure and Investment,Transport,Day to day Spending,Buses,254,b,,,,254
Salaries and Expenses,Infrastructure and Investment,Transport,Day to day Spending,Research and support,220,b,,,,220
Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),Infrastructure and Investment,Transport,Investment,London,165,b,,,,165
Current Operations  Environmental Health (NEW for 2007) (E27),Infrastructure and Investment,Transport,Investment,Roads,105,b,,,,105
Construction  Environmental Health (NEW for 2007) (F27),Infrastructure and Investment,Transport,Day to day Spending,Sustainable Travel,89,b,,,,89
Other Capital Outlay  Environmental Health (NEW for 2007) (G27),Infrastructure and Investment,Transport,Day to day Spending,"Aviation, maritime and security",72,b,,,,72
Payment to the PatientCentered Outcomes Research Trust Fund,Infrastructure and Investment,Transport,Day to day Spending,Transport Development Fund,47,b,,,,47
"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",Infrastructure and Investment,Transport,Day to day Spending,Unallocated Provision,41,b,,,,41
PatientCentered Outcomes Research Trust Fund,Infrastructure and Investment,Transport,Investment,Railways,30,b,,,,30
Health Resources and Services,Infrastructure and Investment,Transport,Investment,Buses,12,b,,,,12
Health Resources and Services,Infrastructure and Investment,Transport,Investment,Unallocated Provision,8,b,,,,8
,Benefits and Pensions,Work and Pensions,Day to day Spending,Delivery and operations,4645,b,,,,4645
CDCWide Activities and Program Support,Benefits and Pensions,Work and Pensions,Day to day Spending,Pensions and pension credit,100094,b,,,,100094
CDCWide Activities and Program Support,Benefits and Pensions,Work and Pensions,Day to day Spending,Disability & incapacity benefits,41576,b,,,,41576
CDCWide Activities and Program Support,Benefits and Pensions,Work and Pensions,Day to day Spending,Working age and other benefits,35230,b,,,,35230
National Institutes of Health,Benefits and Pensions,Work and Pensions,Day to day Spending,Employment programmes,636,b,,,,636
National Institutes of Health,Benefits and Pensions,Work and Pensions,Day to day Spending,Support for local authorities,283,b,,,,283
Healthcare Research and Quality,Benefits and Pensions,Work and Pensions,Day to day Spending,Other,845,b,,,,845
Transfers from the PatientCentered Outcomes Research Trust Fund,Benefits and Pensions,Work and Pensions,Investment,Delivery and operations,203,b,,,,203
Health n.e.c.,Benefits and Pensions,Work and Pensions,Investment,Other,175,b,,,,175
Supplemental Payments to UMWA Health Plans,Benefits and Pensions,HMRC,Day to day Spending,Administration,3506,b,,,,3506
Abandoned Mine Reclamation Fund,Benefits and Pensions,HMRC,Day to day Spending,National Insurance Fund,290,b,,,,290
Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,Benefits and Pensions,HMRC,Day to day Spending,Utilised provisions,30,b,,,,30
Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,Benefits and Pensions,HMRC,Investment,Administration,247,b,,,,247
Department of Defense MedicareEligible Retiree Health Care Fund,Benefits and Pensions,HMRC,Day to day Spending,Child Benefit,11579,b,,,,11579
Biodefense Countermeasures,Benefits and Pensions,HMRC,Day to day Spending,Personal tax credits,26721,b,,,,26721
"Government Payment for Annuitants, Employees Health Benefits",Benefits and Pensions,HMRC,Day to day Spending,Providing payments in lieu of tax relef,85,b,,,,85
Postal Service Retiree Health Benefits Fund,Benefits and Pensions,HMRC,Day to day Spending,Tax free childcare,383,b,,,,383
Employees and Retired Employees Health Benefits Funds,Benefits and Pensions,HMRC,Day to day Spending,Payments of rates to local authorities,93,b,,,,93
United Mine Workers of America 1992 Benefit Plan,Benefits and Pensions,HMRC,Day to day Spending,Other reliefs and allowances,3525,b,,,,3525
,Benefits and Pensions,HMRC,Day to day Spending,Other,2,b,,,,2
Transfers from Abandoned Mine Reclamation Fund,Devolved Administrations,Scotland,Day to day Spending,Block grant,16745,b,,,,16745
Federal Payment to United Mine Workers of America Combined Benefit Fund,Devolved Administrations,Scotland,Day to day Spending,Payover of SRIT,11829,b,,,,11829
United Mine Workers of America Combined Benefit Fund,Devolved Administrations,Scotland,Day to day Spending,Scotland Office,9,b,,,,9
United Mine Workers of America 1993 Benefit Plan,Devolved Administrations,Wales,Day to day Spending,Block grant,14318,b,,,,14318
"Maternal, Infant, and Early Childhood Home Visiting Programs",Devolved Administrations,Wales,Day to day Spending,Wales Office,5,b,,,,5
Health Resources and Services,Devolved Administrations,Northern Ireland,Day to day Spending,Block grant,15666,b,,,,15666
Health Resources and Services,Devolved Administrations,Northern Ireland,Day to day Spending,NIO,23,b,,,,23
,,Level2,Level3,Level4,,,,,,
