,Intl relations & Defence,Exiting the EU,Day to day Spending,Exiting the European Union,92,b,,,,92
,Intl relations & Defence,Exiting the EU,Investment,Exiting the European Union,1,b,,,,1
,Intl relations & Defence,Foreign Affairs,Day to day Spending,Admin and programme,870,b,,,,870
,Intl relations & Defence,Foreign Affairs,Day to day Spending,Conflict Prevention,497,b,,,,497
,Intl relations & Defence,Foreign Affairs,Day to day Spending,Grants to third parties ,383,b,,,,383
,Intl relations & Defence,Foreign Affairs,Day to day Spending,Peacekeeping ,373,b,,,,373
,Intl relations & Defence,Foreign Affairs,Day to day Spending,British Council,164,b,,,,164
,Intl relations & Defence,Foreign Affairs,Day to day Spending,Prosperity Fund,57,b,,,,57
,Intl relations & Defence,Foreign Affairs,Day to day Spending,Net Funding for NDPBs,7,b,,,,7
,Intl relations & Defence,Foreign Affairs,Investment,Admin and programme,90,b,,,,90
,Intl relations & Defence,Foreign Affairs,Investment,Grants to third parties ,12,b,,,,12
,Public Services,Health,Day to day Spending,NHS Providers,72178,b,,,,72178
,Public Services,Health,Day to day Spending,NHS Commissioning Board (NHS England),38931,b,,,,38931
,Public Services,Health,Day to day Spending,Special Health Authorities,4035,b,,,,4035
,Public Services,Health,Day to day Spending,Local Authorities Health,3011,b,,,,3011
,Public Services,Health,Day to day Spending,Central department,2346,b,,,,2346
,Public Services,Health,Day to day Spending,Health Education England,1778,b,,,,1778
,Public Services,Health,Day to day Spending,Public Health England,796,b,,,,796
,Public Services,Health,Day to day Spending,Non-departmental and Arm's Length Bodies,444,b,,,,444
,Public Services,Health,Investment,NHS Providers,3363,b,,,,3363
,Public Services,Health,Investment,Central department,2502,b,,,,2502
,Public Services,Health,Investment,NHS Commissioning Board (NHS England),256,b,,,,256
,Public Services,Health,Investment,Public Health England,100,b,,,,100
,Public Services,Health,Investment,Non-departmental and Arm's Length Bodies,94,b,,,,94
,Public Services,Health,Investment,Special Health Authorities,46,b,,,,46
,Public Services,Health,Investment,Health Education England,2,b,,,,2
,Benefits and Pensions,HMRC,Day to day Spending,Tax credits,23455,b,,,,23455
,Benefits and Pensions,HMRC,Day to day Spending,Child benefit,11546,b,,,,11546
,Benefits and Pensions,HMRC,Day to day Spending,Other tax reliefs and allowances,3855,b,,,,3855
,Benefits and Pensions,HMRC,Day to day Spending,HMRC Administration,3301,b,,,,3301
,Benefits and Pensions,HMRC,Day to day Spending,Lifetime ISA,480,b,,,,480
,Benefits and Pensions,HMRC,Day to day Spending,National Insurance Fund,287,b,,,,287
,Benefits and Pensions,HMRC,Day to day Spending,Tax free childcare,248,b,,,,248
,Benefits and Pensions,HMRC,Day to day Spending,Valuation Office Administration ,151,b,,,,151
,Benefits and Pensions,HMRC,Day to day Spending,Payments in lieu of tax relief,95,b,,,,95
"FOASI, Federal Payments to the FOASI Trust Fund",Benefits and Pensions,HMRC,Day to day Spending,Payments of rates to local authorities,79,b,,,,79
Federal Oldage and Survivors Insurance Trust Fund,Benefits and Pensions,HMRC,Day to day Spending,Other,2,b,,,,2
"FDI, General Fund Payments for Payroll Tax Holiday (PL 111312)",Benefits and Pensions,HMRC,Investment,HMRC Administration,241,b,,,,241
"FDI, Federal Payments to the FDI Trust Fund",Benefits and Pensions,HMRC,Investment,Valuation Office Administration ,9,b,,,,9
Limitation on Administrative Expenses,"Criminal Justice, Borders & Fire ",Home Office,Day to day Spending,"Crime, Policing and Fire",8675,b,,,,8675
"Postal Service Contributions for Current Workers, Postal Service Retiree Health Benefits Fund","Criminal Justice, Borders & Fire ",Home Office,Day to day Spending,Office for Security & Counter terrorism,775,b,,,,775
"NonDoD Employing Agency Contributions, DoD MedicareEligible Retiree Health Care Fund","Criminal Justice, Borders & Fire ",Home Office,Day to day Spending,Enablers,593,b,,,,593
"FHI Trust Fund, Federal Employer Contributions (FICA)","Criminal Justice, Borders & Fire ",Home Office,Day to day Spending,Border Force & immigration (net),344,b,,,,344
"Federal Contributions (concurrent Receipt Accruals), Military Retirement Fund","Criminal Justice, Borders & Fire ",Home Office,Day to day Spending,Arms length bodies (net),100,b,,,,100
"Federal Contributions, FSMI Fund","Criminal Justice, Borders & Fire ",Home Office,Investment,Border Force & immigration (net),156,b,,,,156
"Premiums Collected for Medicare Prescription Drug Account, FSMI","Criminal Justice, Borders & Fire ",Home Office,Investment,"Crime, Policing and Fire",151,b,,,,151
"Payments from States, Medicare Prescription Drug Account, FSMI","Criminal Justice, Borders & Fire ",Home Office,Investment,Office for Security & Counter terrorism,131,b,,,,131
"Basic Premium, Medicare Advantage, FSMI Trust Fund","Criminal Justice, Borders & Fire ",Home Office,Investment,Enablers,3,b,,,,3
"Federal Contribution for Admin. Contribution for Admin. Costs, Prescription Drug Account, FSMI","Criminal Justice, Borders & Fire ",Home Office,Investment,Arms length bodies (net),1,b,,,,1
"Federal Contributions for Benefits, Prescription Drug Account, SMI",Intl relations & Defence,International Development,Day to day Spending,Regional programmes,3437,b,,,,3437
"Premiums Collected for the Aged, FSMI Fund",Intl relations & Defence,International Development,Day to day Spending,Policy priorities,2815,b,,,,2815
Manufacturer Rebates,Intl relations & Defence,International Development,Day to day Spending,European Union Attributed Fund,464,b,,,,464
"Premiums Collected for the Disabled, FSMI Fund",Intl relations & Defence,International Development,Day to day Spending,Operating costs,316,b,,,,316
"FHI Trust Fund, Taxation on OASDI Benefits",Intl relations & Defence,International Development,Day to day Spending,Other central programmes,273,b,,,,273
"FHI Trust Fund, Basic Premium, Medicare Advantage",Intl relations & Defence,International Development,Day to day Spending,"Conflict, Stability and Security Fund",104,b,,,,104
Federal Hospital Insurance Trust Fund,Intl relations & Defence,International Development,Day to day Spending,Prosperity Fund,40,b,,,,40
"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",Intl relations & Defence,International Development,Day to day Spending,Scholarships,26,b,,,,26
,Intl relations & Defence,International Development,Day to day Spending,Government Equalities Office,21,b,,,,21
,Intl relations & Defence,International Development,Day to day Spending,Independent Commission for Aid,3,b,,,,3
"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",Intl relations & Defence,International Development,Investment,Policy priorities,2111,b,,,,2111
Health Care Fraud and Abuse Control Account,Intl relations & Defence,International Development,Investment,Regional programmes,524,b,,,,524
Federal Intergovernmental  Health and Hospitals (B42),Intl relations & Defence,International Development,Investment,Other central programmes,17,b,,,,17
Current Operations  Health  Other (E32),Intl relations & Defence,International Trade,Day to day Spending,Trade Policy,354,b,,,,354
Current Operations  Hospitals (E36),Intl relations & Defence,International Trade,Investment,Trade Policy,4,b,,,,4
Current Operations  Hospitals  Other (Disc. 2005) (E38),"Criminal Justice, Borders & Fire ",Justice,Day to day Spending,Prisons and Probation,3920,b,,,,3920
Construction  Hospitals (F36),"Criminal Justice, Borders & Fire ",Justice,Day to day Spending,Courts and Tribunals,1582,b,,,,1582
Construction  Hospitals  Other (Disc. 2005) (F38),"Criminal Justice, Borders & Fire ",Justice,Day to day Spending,"Other (net) inc Legal Aid, policy & income",1420,b,,,,1420
Other Capital Outlay  Hospitals (G36),"Criminal Justice, Borders & Fire ",Justice,Investment,Courts and Tribunals,227,b,,,,227
,"Criminal Justice, Borders & Fire ",Justice,Investment,Prisons and Probation,153,b,,,,153
Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),"Criminal Justice, Borders & Fire ",Justice,Investment,"Other (net) inc Legal Aid, policy & income",152,b,,,,152
Salaries and Expenses,Public Services,MHCLG (Housing & Communities),Day to day Spending,Housing and Planning,2039,b,,,,2039
Salaries and Expenses,Public Services,MHCLG (Housing & Communities),Day to day Spending,Troubled Families,221,b,,,,221
Salaries and Expenses,Public Services,MHCLG (Housing & Communities),Day to day Spending,Decentralisation and Local Growth,203,b,,,,203
Salaries and Expenses,Public Services,MHCLG (Housing & Communities),Day to day Spending,MHCLG Staff and Infrastructure costs,200,b,,,,200
Salaries and Expenses,Public Services,MHCLG (Housing & Communities),Day to day Spending,Local Government services,123,b,,,,123
Salaries and Expenses,Public Services,MHCLG (Housing & Communities),Day to day Spending,"Research, data and trading funds",31,b,,,,31
Salaries and Expenses,Public Services,MHCLG (Housing & Communities),Investment,Housing and Planning,7596,b,,,,7596
Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),Public Services,MHCLG (Housing & Communities),Investment,Decentralisation and Local Growth,1160,b,,,,1160
Current Operations  Environmental Health (NEW for 2007) (E27),Public Services,MHCLG (Housing & Communities),Investment,Local Government services,644,b,,,,644
Construction  Environmental Health (NEW for 2007) (F27),Public Services,MHCLG (Housing & Communities),Investment,MHCLG Staff and Infrastructure costs,11,b,,,,11
Other Capital Outlay  Environmental Health (NEW for 2007) (G27),Public Services,MHCLG (Housing & Communities),Investment,"Research, data and trading funds",6,b,,,,6
Payment to the PatientCentered Outcomes Research Trust Fund,Public Services,MHCLG (Local Government),Day to day Spending,Business rates retention,21608,b,,,,21608
"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",Public Services,MHCLG (Local Government),Day to day Spending,Other grants,2890,b,,,,2890
PatientCentered Outcomes Research Trust Fund,Public Services,MHCLG (Local Government),Day to day Spending,Revenue Support Grant,1379,b,,,,1379
Health Resources and Services,Devolved Administrations,Northern Ireland,Day to day Spending,Cash grant,15602,b,,,,15602
Health Resources and Services,Devolved Administrations,Northern Ireland,Day to day Spending,N. Ireland Office,22,b,,,,22
,Devolved Administrations,Scotland,Day to day Spending,Cash grant,17324,b,,,,17324
CDCWide Activities and Program Support,Devolved Administrations,Scotland,Day to day Spending,Payover of income tax to Scotland,12115,b,,,,12115
CDCWide Activities and Program Support,Devolved Administrations,Scotland,Day to day Spending,Scotland Office,9,b,,,,9
CDCWide Activities and Program Support,Infrastructure and Investment,Transport,Day to day Spending,Railways (net),8571,b,,,,8571
National Institutes of Health,Infrastructure and Investment,Transport,Day to day Spending,Roads (net),2510,b,,,,2510
National Institutes of Health,Infrastructure and Investment,Transport,Day to day Spending,"Aviation, maritime and security (net)",426,b,,,,426
Healthcare Research and Quality,Infrastructure and Investment,Transport,Day to day Spending,Local Authority Transport,373,b,,,,373
Transfers from the PatientCentered Outcomes Research Trust Fund,Infrastructure and Investment,Transport,Day to day Spending,Buses,260,b,,,,260
Health n.e.c.,Infrastructure and Investment,Transport,Day to day Spending,"Administration, research and support",204,b,,,,204
Supplemental Payments to UMWA Health Plans,Infrastructure and Investment,Transport,Day to day Spending,High Speed Two,202,b,,,,202
Abandoned Mine Reclamation Fund,Infrastructure and Investment,Transport,Day to day Spending,Other transport funding (net),142,b,,,,142
Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,Infrastructure and Investment,Transport,Investment,Railways (net),5472,b,,,,5472
Biodefense Countermeasures,Infrastructure and Investment,Transport,Investment,High Speed Two,2991,b,,,,2991
"Government Payment for Annuitants, Employees Health Benefits",Infrastructure and Investment,Transport,Investment,Roads (net),2690,b,,,,2690
Postal Service Retiree Health Benefits Fund,Infrastructure and Investment,Transport,Investment,Local Authority Transport,1338,b,,,,1338
Employees and Retired Employees Health Benefits Funds,Infrastructure and Investment,Transport,Investment,"Administration, research and support",58,b,,,,58
United Mine Workers of America 1992 Benefit Plan,Infrastructure and Investment,Transport,Investment,"Aviation, maritime and security (net)",30,b,,,,30
,Infrastructure and Investment,Transport,Investment,London,18,b,,,,18
,Infrastructure and Investment,Transport,Investment,Buses,3,b,,,,3
Transfers from Abandoned Mine Reclamation Fund,Infrastructure and Investment,Transport,Investment,Other transport funding (net),784,b,,,,784
Federal Payment to United Mine Workers of America Combined Benefit Fund,Central Government,Treasury,Day to day Spending,Core Treasury,113,b,,,,113
United Mine Workers of America Combined Benefit Fund,Central Government,Treasury,Day to day Spending,Debt Management Office,19,b,,,,19
United Mine Workers of America 1993 Benefit Plan,Central Government,Treasury,Day to day Spending,UK Government Investments & UKFI,13,b,,,,13
"Maternal, Infant, and Early Childhood Home Visiting Programs",Central Government,Treasury,Day to day Spending,Asian Infrastructure Investment Bank,9,b,,,,9
Health Resources and Services,Central Government,Treasury,Day to day Spending,Banking and gilts registration services ,7,b,,,,7
Health Resources and Services,Central Government,Treasury,Day to day Spending,National Infrastructure Commission,5,b,,,,5
,Central Government,Treasury,Day to day Spending,Office for Budget Responsibility,3,b,,,,3
,Central Government,Treasury,Day to day Spending,Other,3,b,,,,3
,Central Government,Treasury,Investment,Core Treasury,138,b,,,,138
,Central Government,Treasury,Investment,Asian Infrastructure Investment Bank,80,b,,,,80
,Central Government,Treasury,Investment,Debt Management Office,5,b,,,,5
,Devolved Administrations,Wales,Day to day Spending,Cash grant,14554,b,,,,14554
,Devolved Administrations,Wales,Day to day Spending,Wales Office,5,b,,,,5
,Benefits and Pensions,Work and Pensions,Day to day Spending,Pensions and pension credit,102132,b,,,,102132
,Benefits and Pensions,Work and Pensions,Day to day Spending,Disability & incapacity benefits,43592,b,,,,43592
,Benefits and Pensions,Work and Pensions,Day to day Spending,Working age and other benefits,37583,b,,,,37583
,Benefits and Pensions,Work and Pensions,Day to day Spending,Delivery and operations,4701,b,,,,4701
,Benefits and Pensions,Work and Pensions,Day to day Spending,Employment programmes,375,b,,,,375
,Benefits and Pensions,Work and Pensions,Day to day Spending,Support for local authorities,261,b,,,,261
,Benefits and Pensions,Work and Pensions,Day to day Spending,Other,813,b,,,,813
,Benefits and Pensions,Work and Pensions,Investment,Delivery and operations,83,b,,,,83
,Benefits and Pensions,Work and Pensions,Investment,Employment programmes,0,b,,,,0
,Benefits and Pensions,Work and Pensions,Investment,Other,172,b,,,,172
Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total
